@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
437,'2023/06/12 00:09:04:508',10,383.787964,4249.702637,8550.941406,0,1,0,0,0
438,'2023/06/12 00:09:04:679',10,379.16452,4276.628418,8545,0,1,0,0,0
439,'2023/06/12 00:09:04:940',10,375.216949,4299.223145,8533.243164,0,1,0,0,0
440,'2023/06/12 00:09:05:191',10,370.750153,4326.158691,8516.020508,0,1,0,0,0
441,'2023/06/12 00:09:05:447',10,363.543365,4273.313477,8456.270508,0,1,0,0,0
442,'2023/06/12 00:09:05:703',10,359.18573,4287.219727,8447.672852,0,1,0,0,0
443,'2023/06/12 00:09:05:964',10,352.770996,4276.330566,8418.895508,0,1,0,0,0
444,'2023/06/12 00:09:06:215',10,355.139679,4322.816406,8418.880859,0,1,0,0,0
445,'2023/06/12 00:09:06:476',10,350.193787,4360.072266,8427.066406,0,1,0,0,0
446,'2023/06/12 00:09:06:722',10,353.867218,4429.181641,8430.675781,0,1,0,0,0
447,'2023/06/12 00:09:06:983',10,357.170715,4475.194336,8445.384766,0,1,0,0,0
448,'2023/06/12 00:09:07:239',10,360.360291,4552.018555,8451.144531,0,1,0,0,0
449,'2023/06/12 00:09:07:495',10,364.018921,4619.531738,8452.984375,0,1,0,0,0
450,'2023/06/12 00:09:07:751',10,365.351379,4678.705566,8455.591797,0,1,0,0,0
451,'2023/06/12 00:09:08:007',10,365.351379,4678.705566,8422.107422,0,1,0,0,0
452,'2023/06/12 00:09:08:177',10,362.877228,4711.358887,8429.075195,0,1,0,0,0
453,'2023/06/12 00:09:08:439',10,358.100403,4725.983887,8435.369141,0,1,0,0,0
454,'2023/06/12 00:09:08:689',10,353.68103,4749.331543,8437.636719,0,1,0,0,0
455,'2023/06/12 00:09:08:945',10,346.026642,4788.775879,8449.879883,0,1,0,0,0
456,'2023/06/12 00:09:09:201',10,346.170502,4780.166504,8435.730469,0,1,0,0,0
457,'2023/06/12 00:09:09:457',10,346.435242,4810.168457,8439.945313,0,1,0,0,0
458,'2023/06/12 00:09:09:719',10,346.435211,4810.168457,8439.945313,0,1,0,0,0
