@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
7300,'2023/06/12 23:32:07:886',10,0.01057,0.587263,0.307495,0.049088,0.07125,1,0,0,0,0
7301,'2023/06/12 23:32:07:897',10,0.00276,0.275696,0.180771,0.018221,0.043096,1,0,0,0,0
7302,'2023/06/12 23:32:07:908',10,0.000738,0.129167,0.11009,0.006748,0.026134,1,0,0,0,0
7303,'2023/06/12 23:32:07:932',10,0.000197,0.061609,0.066145,0.002502,0.015927,1,0,0,0,0
7304,'2023/06/12 23:32:07:943',10,0.000051,0.029379,0.039073,0.000931,0.009673,1,0,0,0,0
7305,'2023/06/12 23:32:07:955',10,0.000014,0.013798,0.02395,0.000349,0.005882,1,0,0,0,0
7306,'2023/06/12 23:32:07:978',10,0.000004,0.006462,0.014167,0.000131,0.00358,1,0,0,0,0
7307,'2023/06/12 23:32:07:990',10,0.000001,0.003081,0.008502,0.000049,0.002181,1,0,0,0,0
7308,'2023/06/12 23:32:08:001',10,0,0.001472,0.005181,0.000018,0.00133,1,0,0,0,0
7309,'2023/06/12 23:32:08:025',10,0,0.000691,0.003046,0.000007,0.000813,1,0,0,0,0
7310,'2023/06/12 23:32:08:036',10,0,0.000324,0.001854,0.000003,0.000497,1,0,0,0,0
7311,'2023/06/12 23:32:08:048',10,0,0.000154,0.001115,0.000001,0.000304,1,0,0,0,0
7312,'2023/06/12 23:32:08:071',10,0,0.000074,0.000658,0,0.000187,1,0,0,0,0
7313,'2023/06/12 23:32:08:083',10,0,0.000035,0.000404,0,0.000114,1,0,0,0,0
7314,'2023/06/12 23:32:08:106',10,0,0.000016,0.000239,0,0.00007,1,0,0,0,0
7315,'2023/06/12 23:32:08:117',10,0,0.000008,0.000143,0,0.000043,1,0,0,0,0
7316,'2023/06/12 23:32:08:129',10,0,0.000004,0.000087,0,0.000026,1,0,0,0,0
7317,'2023/06/12 23:32:08:153',10,0,0.000002,0.000051,0,0.000016,1,0,0,0,0
7318,'2023/06/12 23:32:08:164',10,0,0.000001,0.000031,0,0.00001,1,0,0,0,0
7319,'2023/06/12 23:32:08:175',10,0,0,0.000019,0,0.000006,1,0,0,0,0
7320,'2023/06/12 23:32:08:199',10,0,0,0.000011,0,0.000004,1,0,0,0,0
7321,'2023/06/12 23:32:08:210',10,0,0,0.000007,0,0.000002,1,0,0,0,0
7322,'2023/06/12 23:32:08:223',10,0,0,0.000004,0,0.000001,1,0,0,0,0
7323,'2023/06/12 23:32:08:245',10,0,0,0.000002,0,0.000001,1,0,0,0,0
7324,'2023/06/12 23:32:08:257',10,0,0,0.000001,0,0,1,0,0,0,0
7325,'2023/06/12 23:32:08:269',10,0,0,0.000001,0,0,1,0,0,0,0
7326,'2023/06/12 23:32:08:292',10,0,0,0.000001,0,0,1,0,0,0,0
7327,'2023/06/12 23:32:08:304',10,0,0,0,0,0,1,0,0,0,0
7328,'2023/06/12 23:32:08:315',10,0,0,0,0,0,1,0,0,0,0
7329,'2023/06/12 23:32:08:339',10,0,0,0,0,0,1,0,0,0,0
7330,'2023/06/12 23:32:08:349',10,0,0,0,0,0,1,0,0,0,0
7331,'2023/06/12 23:32:08:361',10,0,0,0,0,0,1,0,0,0,0
7332,'2023/06/12 23:32:08:384',10,0,0,0,0,0,1,0,0,0,0
7333,'2023/06/12 23:32:08:396',10,0,0,0,0,0,1,0,0,0,0
7334,'2023/06/12 23:32:08:408',10,0,0,0,0,0,1,0,0,0,0
7335,'2023/06/12 23:32:08:431',10,0,0,0,0,0,1,0,0,0,0
7336,'2023/06/12 23:32:08:442',10,0,0,0,0,0,1,0,0,0,0
7337,'2023/06/12 23:32:08:454',10,0,0,0,0,0,1,0,0,0,0
7338,'2023/06/12 23:32:15:942',11,0,0,0,0,0,0,1,0,0,0
7339,'2023/06/12 23:32:15:953',11,0,0,0,0,0,0,1,0,0,0
7340,'2023/06/12 23:32:15:977',11,0,0,0,0,0,0,1,0,0,0
7341,'2023/06/12 23:32:15:989',11,0,0,0,0,0,0,1,0,0,0
7342,'2023/06/12 23:32:16:012',11,0,0,0,0,0,0,1,0,0,0
7343,'2023/06/12 23:32:16:023',11,0,0,0,0,0,0,1,0,0,0
7344,'2023/06/12 23:32:16:035',11,0,0,0,0,0,0,1,0,0,0
7345,'2023/06/12 23:32:16:058',11,0,0,0,0,0,0,1,0,0,0
7346,'2023/06/12 23:32:16:069',11,0,0,0,0,0,0,1,0,0,0
7347,'2023/06/12 23:32:16:081',11,0,0,0,0,0,0,1,0,0,0
7348,'2023/06/12 23:32:16:105',11,0,0,0,0,0,0,1,0,0,0
7349,'2023/06/12 23:32:16:116',11,0,0,0,0,0,0,1,0,0,0
7350,'2023/06/12 23:32:16:128',11,0,0,0,0,0,0,1,0,0,0
7351,'2023/06/12 23:32:16:151',11,0,0,0,0,0,0,1,0,0,0
7352,'2023/06/12 23:32:16:163',11,0,0,0,0,0,0,1,0,0,0
7353,'2023/06/12 23:32:16:174',11,0,0,0,0,0,0,1,0,0,0
7354,'2023/06/12 23:32:16:197',11,0,0,0,0,0,0,1,0,0,0
7355,'2023/06/12 23:32:16:209',11,0,0,0,0,0,0,1,0,0,0
7356,'2023/06/12 23:32:16:222',11,0,0,0,0,0,0,1,0,0,0
7357,'2023/06/12 23:32:16:244',11,0,0,0,0,0,0,1,0,0,0
7358,'2023/06/12 23:32:16:256',11,0,0,0,0,0,0,1,0,0,0
7359,'2023/06/12 23:32:16:267',11,0,0,0,0,0,0,1,0,0,0
7360,'2023/06/12 23:32:16:290',11,0,0,0,0,0,0,1,0,0,0
7361,'2023/06/12 23:32:16:302',11,0,0,0,0,0,0,1,0,0,0
7362,'2023/06/12 23:32:16:314',11,0,0,0,0,0,0,1,0,0,0
7363,'2023/06/12 23:32:16:337',11,0,0,0,0,0,0,1,0,0,0
