@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
108,'2023/06/13 10:16:20:844',3,0,0,0,0,0,0,0,0,0
109,'2023/06/13 10:16:20:863',3,0,0,0,0,0,0,0,0,0
110,'2023/06/13 10:16:20:890',3,0,0,0,0,0,0,0,0,0
111,'2023/06/13 10:16:20:910',3,0,0,0,0,0,0,0,0,0
112,'2023/06/13 10:16:20:935',3,0,0,0,0,0,0,0,0,0
113,'2023/06/13 10:16:20:957',3,385.745758,1120.828613,385.745758,1120.828613,0,0,0,0,0
114,'2023/06/13 10:16:20:983',3,0,0,0,0,0,0,0,0,0
115,'2023/06/13 10:16:21:001',3,0,0,0,0,0,0,0,0,0
116,'2023/06/13 10:16:21:027',3,0,0,0,0,0,0,0,0,0
117,'2023/06/13 10:16:21:054',3,352.677429,1009.727905,352.677429,1009.727905,0,0,0,0,0
118,'2023/06/13 10:16:21:073',3,0,0,0,0,0,0,0,0,0
119,'2023/06/13 10:16:21:098',3,0,0,0,0,0,0,0,0,0
120,'2023/06/13 10:16:21:117',3,0,0,0,0,0,0,0,0,0
121,'2023/06/13 10:16:21:142',3,0,0,0,0,0,0,0,0,0
122,'2023/06/13 10:16:21:168',3,0,0,0,0,0,0,0,0,0
123,'2023/06/13 10:16:21:187',3,0,0,0,0,0,0,0,0,0
124,'2023/06/13 10:16:21:213',3,0,0,0,0,0,0,0,0,0
125,'2023/06/13 10:16:21:233',3,0,0,0,0,0,0,0,0,0
126,'2023/06/13 10:16:21:259',3,0,0,0,0,0,0,0,0,0
127,'2023/06/13 10:16:21:281',3,0,0,0,0,0,0,0,0,0
